"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4500","Daily Celtics Newsfeed: Jayson Tatum a superstar in the making? Paul Pierce thinks so! Jaylen Brown is game 3 ready… https://t.co/K4fOeBaxCB",FALSE,3,NA,2018-05-18 02:28:37,TRUE,NA,"997302909980299265",NA,"<a href=""http://libsyn.com/3/"" rel=""nofollow"">Libsyn On-Publish</a>","CLNS_Nick",2,FALSE,FALSE,NA,NA
"4501","I've spent the #NBAPlayoffs... 🖐",FALSE,0,NA,2018-05-18 02:28:18,FALSE,NA,"997302831706144770",NA,"<a href=""http://www.wakemeup.com/"" rel=""nofollow"">PapaJuansBot</a>","bigboyhours1to3",0,FALSE,FALSE,NA,NA
"4502","Brand New Galaxy S3 Frontier for sale!!!. 

https://t.co/Uej58BqJqa

#ebay #summerdeals #smartwatch #forsale… https://t.co/otqmV76G8c",FALSE,0,NA,2018-05-18 02:28:12,TRUE,NA,"997302804791296000",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","Blackura718",0,FALSE,FALSE,NA,NA
"4503","No #NBAPlayoffs on tonight so I’m watching hockey I could care less about. Rooting for 27 overtimes #StanleyCupPlayoffs",FALSE,0,NA,2018-05-18 02:28:06,FALSE,NA,"997302781642932224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notsoangryGBfan",0,FALSE,FALSE,NA,NA
"4504","RT @NBATV: Enjoy another edition of Meme Team from the #NBAPlayoffs 🤣

#TheStarters https://t.co/TAz30NRFNi",FALSE,0,NA,2018-05-18 02:27:28,FALSE,NA,"997302619055054848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","El_Dios133",24,TRUE,FALSE,NA,NA
"4505","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:27:22,FALSE,NA,"997302593901776896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xhunter24_",3241,TRUE,FALSE,NA,NA
"4506","RT @NBA: Kevin Durant records a game-high 38 PTS for the @warriors on the road in Game 2. #DubNation #NBAPlayoffs https://t.co/mJDyKlYGBA",FALSE,0,NA,2018-05-18 02:26:53,FALSE,NA,"997302472497549313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adolfo_v",325,TRUE,FALSE,NA,NA
"4507","RT @AP_Deportes: Como cada año en los #NBAPlayoffs, los @cavs presentan un cuadro de ""Lebrondependencia"". Esta vez parece más severo https:…",FALSE,0,NA,2018-05-18 02:26:47,FALSE,NA,"997302450993287173",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","invictos_mx",6,TRUE,FALSE,NA,NA
"4508","Common people does these top 3 things: 
▶work a 9-5
▶Go to college
▶Let life take control over them and not take co… https://t.co/dIrVpmuIgc",FALSE,3,NA,2018-05-18 02:26:07,TRUE,NA,"997302279459037185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","safariikid23",0,FALSE,FALSE,NA,NA
"4509","RT @13PhotogWillie: Wow Steve 💪🏾⛹🏾Francis walking with @JHarden13 to the 🔐room. It's all 👔 up at 1-1. #WCF 🚚moves to 🌉San Fransisco for GM…",FALSE,0,NA,2018-05-18 02:25:25,FALSE,NA,"997302107022782467",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msltntx",5,TRUE,FALSE,NA,NA
"4510","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:25:20,FALSE,NA,"997302083178156032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_PriceRiteJay",3241,TRUE,FALSE,NA,NA
"4511","RT @TheSolush: Bad news: no #nbaplayoffs today

Good news: it’s #Jerzday",FALSE,0,NA,2018-05-18 02:24:50,FALSE,NA,"997301959295160320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kenneth__Madden",2,TRUE,FALSE,NA,NA
"4512","RT @cavs: Here’s your next chance to win #NBAPlayoffs tickets, thanks to @elkandelk!

Tweet one of your favorite Cavs memories this year wi…",FALSE,0,NA,2018-05-18 02:24:29,FALSE,NA,"997301872003309568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Clevela60686398",98,TRUE,FALSE,NA,NA
"4513","@HoustonRockets #NBAPlayoffs #jamesharden #cp3 #crispaul The #nbachampionship is yours to lose.",FALSE,0,"HoustonRockets",2018-05-18 02:24:27,FALSE,NA,"997301862943539201","19077044","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PreachinJames",0,FALSE,FALSE,NA,NA
"4514","RT @fcn_two: #TBT #TrueBallerThursday with @jcoisit @therayvolution @thereggiemathis #nba #nbaplayoffs https://t.co/6didi6gsqA",FALSE,0,NA,2018-05-18 02:24:11,FALSE,NA,"997301793267822593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheReggieMathis",3,TRUE,FALSE,NA,NA
